remarks,commit_url,commit_message,commit_url,repository,commit_hash,modified_file
SIngle function change. Function name was mentioned,https://github.com/microsoft/AirSim/commit/8524e35b90a898658b1a67a261ee6d8ee90260b5,Fix clang-format violation,https://github.com/microsoft/AirSim.git/commit/8524e35b90a898658b1a67a261ee6d8ee90260b5,https://github.com/microsoft/AirSim.git,8524e35b90a898658b1a67a261ee6d8ee90260b5,CameraDirector.cpp
,https://github.com/Tencent/rapidjson/commit/37b3acf40c2bcad29f7564a8416a17d6de2b9134,GenericDocument: forward allocator to GenericReader,https://github.com/Tencent/rapidjson.git/commit/37b3acf40c2bcad29f7564a8416a17d6de2b9134,https://github.com/Tencent/rapidjson.git,37b3acf40c2bcad29f7564a8416a17d6de2b9134,
,https://github.com/Tencent/rapidjson/commit/5474bc2f3d347938885ee60fbcff7de9874a11a8,DoublePrecision: add a unit test for the precision handling,https://github.com/Tencent/rapidjson.git/commit/5474bc2f3d347938885ee60fbcff7de9874a11a8,https://github.com/Tencent/rapidjson.git,5474bc2f3d347938885ee60fbcff7de9874a11a8,writertest.cpp
,https://github.com/Tencent/rapidjson/commit/c43697c16cc9b77151012701b578ecc72bc2deed,"- Fixed a build issue by initializing ""index"" in the header file",https://github.com/Tencent/rapidjson.git/commit/c43697c16cc9b77151012701b578ecc72bc2deed,https://github.com/Tencent/rapidjson.git,c43697c16cc9b77151012701b578ecc72bc2deed,schema.h
,https://github.com/Tencent/rapidjson/commit/3cdfde14d682466b2ad550f1c47825a686a3db23,replace auto with concrete type,https://github.com/Tencent/rapidjson.git/commit/3cdfde14d682466b2ad550f1c47825a686a3db23,https://github.com/Tencent/rapidjson.git,3cdfde14d682466b2ad550f1c47825a686a3db23,platformtest.cpp
,https://github.com/apple/foundationdb/commit/ab834c4f7ebf3ee406b90d6d4dcb66402726022e,Move profiling option help message to devhelp,https://github.com/apple/foundationdb.git/commit/ab834c4f7ebf3ee406b90d6d4dcb66402726022e,https://github.com/apple/foundationdb.git,ab834c4f7ebf3ee406b90d6d4dcb66402726022e,fdbserver.actor.cpp
,https://github.com/scylladb/scylladb/commit/1ff8645eaa27f4d1b767ecd506fd81514a2a5872,view_update_generator: Dump throughput and duration for view update from staging,https://github.com/scylladb/scylladb.git/commit/1ff8645eaa27f4d1b767ecd506fd81514a2a5872,https://github.com/scylladb/scylladb.git,1ff8645eaa27f4d1b767ecd506fd81514a2a5872,
,https://github.com/musescore/MuseScore/commit/2e5363b288892dfcebfa8abf0c9b5ef47588d261,optimization: increased the update interval for MidiDevicesListener,https://github.com/musescore/MuseScore.git/commit/2e5363b288892dfcebfa8abf0c9b5ef47588d261,https://github.com/musescore/MuseScore.git,2e5363b288892dfcebfa8abf0c9b5ef47588d261,midideviceslistener.cpp
,https://github.com/hrydgard/ppsspp/commit/354d263ccf4cf8f3913433b1b6f7f534e497de82,sceKernelFindModuleByName:Add delay for Fake module,https://github.com/hrydgard/ppsspp.git/commit/354d263ccf4cf8f3913433b1b6f7f534e497de82,https://github.com/hrydgard/ppsspp.git,354d263ccf4cf8f3913433b1b6f7f534e497de82,
,https://github.com/hrydgard/ppsspp/commit/dffc1a9196fcbab89c4e5f6f336c33f0eb3abfc6,Add the slow comment to one more place,https://github.com/hrydgard/ppsspp.git/commit/dffc1a9196fcbab89c4e5f6f336c33f0eb3abfc6,https://github.com/hrydgard/ppsspp.git,dffc1a9196fcbab89c4e5f6f336c33f0eb3abfc6,TextureCacheVulkan.cpp
,https://github.com/hrydgard/ppsspp/commit/8f8436fd1a07ef02b39ff765a694f1d6456849fb,UI: Prevent save textures if not replacing.,https://github.com/hrydgard/ppsspp.git/commit/8f8436fd1a07ef02b39ff765a694f1d6456849fb,https://github.com/hrydgard/ppsspp.git,8f8436fd1a07ef02b39ff765a694f1d6456849fb,
,https://github.com/hrydgard/ppsspp/commit/73c06bb77605415648c9b92102e78bc4ad4d7b07,Replacement: Be more consistent about base level.,https://github.com/hrydgard/ppsspp.git/commit/73c06bb77605415648c9b92102e78bc4ad4d7b07,https://github.com/hrydgard/ppsspp.git,73c06bb77605415648c9b92102e78bc4ad4d7b07,TextureCacheVulkan.cpp
,https://github.com/hrydgard/ppsspp/commit/adda49d05d1091decb8832259f0ca4e9e085f143,Add a heuristic avoiding joining framebuffers horizontally,https://github.com/hrydgard/ppsspp.git/commit/adda49d05d1091decb8832259f0ca4e9e085f143,https://github.com/hrydgard/ppsspp.git,adda49d05d1091decb8832259f0ca4e9e085f143,
,https://github.com/NixOS/nix/commit/0f977bf91e29192d7f0c0f9cad16351bad7cd137,Remove a useless debug message in filetransfer.cc,https://github.com/NixOS/nix.git/commit/0f977bf91e29192d7f0c0f9cad16351bad7cd137,https://github.com/NixOS/nix.git,0f977bf91e29192d7f0c0f9cad16351bad7cd137,
,https://github.com/rizonesoft/Notepad3/commit/c4aaeeedac747eef1a3305782444e1572ce3a296,#NAME?,https://github.com/rizonesoft/Notepad3.git/commit/c4aaeeedac747eef1a3305782444e1572ce3a296,https://github.com/rizonesoft/Notepad3.git,c4aaeeedac747eef1a3305782444e1572ce3a296,Notepad3.c
,https://github.com/mapbox/mapbox-gl-native/commit/abcf978174437746c105cbd3e27c58ac55498cc8,change comment and cache value,https://github.com/mapbox/mapbox-gl-native.git/commit/abcf978174437746c105cbd3e27c58ac55498cc8,https://github.com/mapbox/mapbox-gl-native.git,abcf978174437746c105cbd3e27c58ac55498cc8,application_root.cpp
SIngle function change. Function name was mentioned,https://github.com/mapbox/mapbox-gl-native/commit/49e76dba951aa232e24b988981e7bd8532b254c5,fixes #621: better performance for iPhone 6 Plus through smaller renderbuffer,https://github.com/mapbox/mapbox-gl-native.git/commit/49e76dba951aa232e24b988981e7bd8532b254c5,https://github.com/mapbox/mapbox-gl-native.git,49e76dba951aa232e24b988981e7bd8532b254c5,MGLMapView.mm
"Header and namspace changed, no function name was mentioned",https://github.com/mapbox/mapbox-gl-native/commit/a6c8a76694489d9ba81554fd19fd85d755eeead2,Replace regex usage with basic string manipulation,https://github.com/mapbox/mapbox-gl-native.git/commit/a6c8a76694489d9ba81554fd19fd85d755eeead2,https://github.com/mapbox/mapbox-gl-native.git,a6c8a76694489d9ba81554fd19fd85d755eeead2,
SIngle function change. Function name was mentioned,https://github.com/mapbox/mapbox-gl-native/commit/743619dee9056d902de6ea6890f4997b5b4cbe42,Disable all Sources when terminating,https://github.com/mapbox/mapbox-gl-native.git/commit/743619dee9056d902de6ea6890f4997b5b4cbe42,https://github.com/mapbox/mapbox-gl-native.git,743619dee9056d902de6ea6890f4997b5b4cbe42,map.cpp
SIngle function change. Function name was mentioned,https://github.com/mapbox/mapbox-gl-native/commit/e20faf7a8d531689642106164b5ee53b3353fe80,add worker cancellation test (failing),https://github.com/mapbox/mapbox-gl-native.git/commit/e20faf7a8d531689642106164b5ee53b3353fe80,https://github.com/mapbox/mapbox-gl-native.git,e20faf7a8d531689642106164b5ee53b3353fe80,worker.cpp
SIngle function change. Function name was mentioned,https://github.com/mapbox/mapbox-gl-native/commit/8a9665b08546408dabc4a0a59102039fda58a503,Deffer updateAnnotationTiles() if Source is not available,https://github.com/mapbox/mapbox-gl-native.git/commit/8a9665b08546408dabc4a0a59102039fda58a503,https://github.com/mapbox/mapbox-gl-native.git,8a9665b08546408dabc4a0a59102039fda58a503,
,https://github.com/mapbox/mapbox-gl-native/commit/0b8cd02c195e58ae11037e3905f4987f7ce05bbb,GLFW port now uses nudgeTransitions(),https://github.com/mapbox/mapbox-gl-native.git/commit/0b8cd02c195e58ae11037e3905f4987f7ce05bbb,https://github.com/mapbox/mapbox-gl-native.git,0b8cd02c195e58ae11037e3905f4987f7ce05bbb,glfw_view.cpp
,https://github.com/mapbox/mapbox-gl-native/commit/bea457697a550392971c143071296e0d26a09fb4,Ignore tile URL sharding,https://github.com/mapbox/mapbox-gl-native.git/commit/bea457697a550392971c143071296e0d26a09fb4,https://github.com/mapbox/mapbox-gl-native.git,bea457697a550392971c143071296e0d26a09fb4,
,https://github.com/mapbox/mapbox-gl-native/commit/c7dfbec96ec54fc6b99c03a6e4752bf7962e1f07,Make Bucket::uploaded an atomic bool,https://github.com/mapbox/mapbox-gl-native.git/commit/c7dfbec96ec54fc6b99c03a6e4752bf7962e1f07,https://github.com/mapbox/mapbox-gl-native.git,c7dfbec96ec54fc6b99c03a6e4752bf7962e1f07,
,https://github.com/mapbox/mapbox-gl-native/commit/2f30dfe97d851f2a2bb4141dc234013b01f8afd3,Disable heading updates for .FollowWithCourse,https://github.com/mapbox/mapbox-gl-native.git/commit/2f30dfe97d851f2a2bb4141dc234013b01f8afd3,https://github.com/mapbox/mapbox-gl-native.git,2f30dfe97d851f2a2bb4141dc234013b01f8afd3,
,https://github.com/mapbox/mapbox-gl-native/commit/253a007d99c2079b95d5c6d11715e16815067e16,[ios][bench] Add total and avg FPS to final summary,https://github.com/mapbox/mapbox-gl-native.git/commit/253a007d99c2079b95d5c6d11715e16815067e16,https://github.com/mapbox/mapbox-gl-native.git,253a007d99c2079b95d5c6d11715e16815067e16,MBXBenchViewController.mm
,https://github.com/mapbox/mapbox-gl-native/commit/62bc6e29c822d823ca6bb54d056835ec95d3aa73,[core] Fix deleter mismatch,https://github.com/mapbox/mapbox-gl-native.git/commit/62bc6e29c822d823ca6bb54d056835ec95d3aa73,https://github.com/mapbox/mapbox-gl-native.git,62bc6e29c822d823ca6bb54d056835ec95d3aa73,
,https://github.com/FLIF-hub/FLIF/commit/8e851c5e35f5ad3ea4458d72aac112350afad692,Adjust for scale,https://github.com/FLIF-hub/FLIF.git/commit/8e851c5e35f5ad3ea4458d72aac112350afad692,https://github.com/FLIF-hub/FLIF.git,8e851c5e35f5ad3ea4458d72aac112350afad692,image.hpp
,https://github.com/mapnik/mapnik/commit/0f3eecbe5eecb86f1baa669ca7be45294d0cc94f,fix intersecting extents in different projections,https://github.com/mapnik/mapnik.git/commit/0f3eecbe5eecb86f1baa669ca7be45294d0cc94f,https://github.com/mapnik/mapnik.git,0f3eecbe5eecb86f1baa669ca7be45294d0cc94f,feature_style_processor_impl.hpp
,https://github.com/actor-framework/actor-framework/commit/18aa531850c39f5a8e0a063025f2666f9b072f21,Fix deadlock in ringbuffer::get_all,https://github.com/actor-framework/actor-framework.git/commit/18aa531850c39f5a8e0a063025f2666f9b072f21,https://github.com/actor-framework/actor-framework.git,18aa531850c39f5a8e0a063025f2666f9b072f21,ringbuffer.hpp
,https://github.com/rwengine/openrw/commit/46b94bd1ede5fd96f9472e64bb2fad2c19a05ec3,rwgame: remove undefined behavior in CharacterObjects,https://github.com/rwengine/openrw.git/commit/46b94bd1ede5fd96f9472e64bb2fad2c19a05ec3,https://github.com/rwengine/openrw.git,46b94bd1ede5fd96f9472e64bb2fad2c19a05ec3,
,https://github.com/rwengine/openrw/commit/f7bd8701db2a98678e206ae78515b0a0e16b092b,setForcedUpdateAllAabbs to false; Reduces stepSimulation time by 35%.,https://github.com/rwengine/openrw.git/commit/f7bd8701db2a98678e206ae78515b0a0e16b092b,https://github.com/rwengine/openrw.git,f7bd8701db2a98678e206ae78515b0a0e16b092b,
,https://github.com/kokkos/kokkos/commit/910d43e45b04fb0e7d155233f7069cab0aeefc79,OpenMP: Adding an ifdef around chunksize for static schedule for GCC compiler.,https://github.com/kokkos/kokkos.git/commit/910d43e45b04fb0e7d155233f7069cab0aeefc79,https://github.com/kokkos/kokkos.git,910d43e45b04fb0e7d155233f7069cab0aeefc79,Kokkos_OpenMP_Parallel.hpp
,https://github.com/FEX-Emu/FEX/commit/a24680b0a1d210099bb72741561174fbd8c07228,ConstProp: Adds constpool distance heuristic,https://github.com/FEX-Emu/FEX.git/commit/a24680b0a1d210099bb72741561174fbd8c07228,https://github.com/FEX-Emu/FEX.git,a24680b0a1d210099bb72741561174fbd8c07228,
,https://github.com/FEX-Emu/FEX/commit/e24b01b6cb4dd4a3d18caed2dccc486ad0d5acf7,Arm64: Implement support for SVE bitperm,https://github.com/FEX-Emu/FEX.git/commit/e24b01b6cb4dd4a3d18caed2dccc486ad0d5acf7,https://github.com/FEX-Emu/FEX.git,e24b01b6cb4dd4a3d18caed2dccc486ad0d5acf7,ALUOps.cpp
,https://github.com/tfussell/xlnt/commit/e5d6a26e1738f9b43a4a4e8a12b9ac438a2a5550,fixup formatting,https://github.com/tfussell/xlnt.git/commit/e5d6a26e1738f9b43a4a4e8a12b9ac438a2a5550,https://github.com/tfussell/xlnt.git,e5d6a26e1738f9b43a4a4e8a12b9ac438a2a5550,xlsx_consumer.cpp
,https://github.com/bitshares/bitshares-core/commit/5e424577f5cf449c2d363605b32ea6508ee3dfe1,Capture fewer variables for lamdba,https://github.com/bitshares/bitshares-core.git/commit/5e424577f5cf449c2d363605b32ea6508ee3dfe1,https://github.com/bitshares/bitshares-core.git,5e424577f5cf449c2d363605b32ea6508ee3dfe1,db_balance.cpp
,https://github.com/bitshares/bitshares-core/commit/3c931a97ec32b15eb4d09886936186dee7a45e35,remove needless find(),https://github.com/bitshares/bitshares-core.git/commit/3c931a97ec32b15eb4d09886936186dee7a45e35,https://github.com/bitshares/bitshares-core.git,3c931a97ec32b15eb4d09886936186dee7a45e35,node.cpp
,https://github.com/NREL/EnergyPlus/commit/e070f3cdeac9e58d28e31070dd6a460baa7cee16,Use RequestSizing for DX Coil SHR,https://github.com/NREL/EnergyPlus.git/commit/e070f3cdeac9e58d28e31070dd6a460baa7cee16,https://github.com/NREL/EnergyPlus.git,e070f3cdeac9e58d28e31070dd6a460baa7cee16,DXCoils.cc
,https://github.com/NREL/EnergyPlus/commit/77e72865ba7463c601491aeea6a588018ac7c261,Revert consolidation of CpAir calculation,https://github.com/NREL/EnergyPlus.git/commit/77e72865ba7463c601491aeea6a588018ac7c261,https://github.com/NREL/EnergyPlus.git,77e72865ba7463c601491aeea6a588018ac7c261,ZoneTempPredictorCorrector.cc
,https://github.com/NREL/EnergyPlus/commit/ff568f7733204d88c810b10b3c792fe6b9c2a188,Don't copy structs into kiva convection lambdas.,https://github.com/NREL/EnergyPlus.git/commit/ff568f7733204d88c810b10b3c792fe6b9c2a188,https://github.com/NREL/EnergyPlus.git,ff568f7733204d88c810b10b3c792fe6b9c2a188,ConvectionCoefficients.cc
,https://github.com/KratosMultiphysics/Kratos/commit/745cdb6c79e6e0a6713535842f941819e422f9c9,[StructuralMechanicsApplication] Adding patch test for Quad9,https://github.com/KratosMultiphysics/Kratos.git/commit/745cdb6c79e6e0a6713535842f941819e422f9c9,https://github.com/KratosMultiphysics/Kratos.git,745cdb6c79e6e0a6713535842f941819e422f9c9,
,https://github.com/KratosMultiphysics/Kratos/commit/826d1bd8d74623c8e08782d5081408b30eb388a4,Missing changes in CompressiblePotentialFlowApp,https://github.com/KratosMultiphysics/Kratos.git/commit/826d1bd8d74623c8e08782d5081408b30eb388a4,https://github.com/KratosMultiphysics/Kratos.git,826d1bd8d74623c8e08782d5081408b30eb388a4,compute_embedded_lift_process.cpp
,https://github.com/EasyRPG/Player/commit/9d7cce2ade0c907d39da133426236fcf32a646d3,AsyncHandler - use unordered_map,https://github.com/EasyRPG/Player.git/commit/9d7cce2ade0c907d39da133426236fcf32a646d3,https://github.com/EasyRPG/Player.git,9d7cce2ade0c907d39da133426236fcf32a646d3,async_handler.cpp
,https://github.com/EasyRPG/Player/commit/9d13f4a08209e6c6891a16991b496783f84feeea,WaverBlit fixes,https://github.com/EasyRPG/Player.git/commit/9d13f4a08209e6c6891a16991b496783f84feeea,https://github.com/EasyRPG/Player.git,9d13f4a08209e6c6891a16991b496783f84feeea,
,https://github.com/CasparCG/server/commit/a7fb293dd8ba4ed5c3cafa3da35dbdf872371d84,fix(decklink): guard against null video or audio frame from decklink,https://github.com/CasparCG/server.git/commit/a7fb293dd8ba4ed5c3cafa3da35dbdf872371d84,https://github.com/CasparCG/server.git,a7fb293dd8ba4ed5c3cafa3da35dbdf872371d84,decklink_producer.cpp
,https://github.com/lethal-guitar/RigelEngine/commit/947d4890328c0e9821dfd30f2cfa8033d68508da,Tweak game speed to be roughly on the level of a 486,https://github.com/lethal-guitar/RigelEngine.git/commit/947d4890328c0e9821dfd30f2cfa8033d68508da,https://github.com/lethal-guitar/RigelEngine.git,947d4890328c0e9821dfd30f2cfa8033d68508da,game_runner.cpp
,https://github.com/mockingbirdnest/Principia/commit/b453a240760a58d29ba0a7bb649edf9a501b4891,Remove traces.,https://github.com/mockingbirdnest/Principia.git/commit/b453a240760a58d29ba0a7bb649edf9a501b4891,https://github.com/mockingbirdnest/Principia.git,b453a240760a58d29ba0a7bb649edf9a501b4891,vessel.cpp
,https://github.com/mockingbirdnest/Principia/commit/2c7f44c717fc333bd98e8cd2d0748aaba4db7448,A more useful trace.,https://github.com/mockingbirdnest/Principia.git/commit/2c7f44c717fc333bd98e8cd2d0748aaba4db7448,https://github.com/mockingbirdnest/Principia.git,2c7f44c717fc333bd98e8cd2d0748aaba4db7448,player.cpp
,https://github.com/mockingbirdnest/Principia/commit/30ba546917769bd6f6bef67ae96c052318978729,A test.,https://github.com/mockingbirdnest/Principia.git/commit/30ba546917769bd6f6bef67ae96c052318978729,https://github.com/mockingbirdnest/Principia.git,30ba546917769bd6f6bef67ae96c052318978729,discrete_trajectory_test.cpp
,https://github.com/mockingbirdnest/Principia/commit/2e162bedeab9b5f8d1bfcb7c661abf9a395120d8,Fix compilation errors.,https://github.com/mockingbirdnest/Principia.git/commit/2e162bedeab9b5f8d1bfcb7c661abf9a395120d8,https://github.com/mockingbirdnest/Principia.git,2e162bedeab9b5f8d1bfcb7c661abf9a395120d8,vessel_test.cpp
,https://github.com/mockingbirdnest/Principia/commit/41e9229eb7f9a1c6dd1d544da697966fa55cdcc4,Compilation error.,https://github.com/mockingbirdnest/Principia.git/commit/41e9229eb7f9a1c6dd1d544da697966fa55cdcc4,https://github.com/mockingbirdnest/Principia.git,41e9229eb7f9a1c6dd1d544da697966fa55cdcc4,discrete_trajectory_test.cpp
,https://github.com/mockingbirdnest/Principia/commit/5f6f454a6c9086883ea6743135268000968bc245,Start the flight plan at the right place.,https://github.com/mockingbirdnest/Principia.git/commit/5f6f454a6c9086883ea6743135268000968bc245,https://github.com/mockingbirdnest/Principia.git,5f6f454a6c9086883ea6743135268000968bc245,vessel.cpp
,https://github.com/mockingbirdnest/Principia/commit/0e40d9722a35d4cd2dda2c828ac7fa03870a16ee,Make progress on segments of length 2.,https://github.com/mockingbirdnest/Principia.git/commit/0e40d9722a35d4cd2dda2c828ac7fa03870a16ee,https://github.com/mockingbirdnest/Principia.git,0e40d9722a35d4cd2dda2c828ac7fa03870a16ee,discrete_trajectory_iterator_body.hpp
,https://github.com/mockingbirdnest/Principia/commit/99ab63097a4a5272fe82f95ffbe462b13c0d8b71,Track the backstory.,https://github.com/mockingbirdnest/Principia.git/commit/99ab63097a4a5272fe82f95ffbe462b13c0d8b71,https://github.com/mockingbirdnest/Principia.git,99ab63097a4a5272fe82f95ffbe462b13c0d8b71,vessel.cpp
,https://github.com/mockingbirdnest/Principia/commit/008029332acd92365c16256d0434c36c10755f10,A test of the new function.,https://github.com/mockingbirdnest/Principia.git/commit/008029332acd92365c16256d0434c36c10755f10,https://github.com/mockingbirdnest/Principia.git,008029332acd92365c16256d0434c36c10755f10,checkpointer_test.cpp
,https://github.com/mockingbirdnest/Principia/commit/1df150311c12d50009d681396dbc61ed9be6e034,Bypass stock aerodynamics outside the atmosphere,https://github.com/mockingbirdnest/Principia.git/commit/1df150311c12d50009d681396dbc61ed9be6e034,https://github.com/mockingbirdnest/Principia.git,1df150311c12d50009d681396dbc61ed9be6e034,ksp_plugin_adapter.cs
,https://github.com/mockingbirdnest/Principia/commit/ff745707096fb1be67aa3c1ddf9af57f01e37179,Fix a test that was broken by the removal of history().,https://github.com/mockingbirdnest/Principia.git/commit/ff745707096fb1be67aa3c1ddf9af57f01e37179,https://github.com/mockingbirdnest/Principia.git,ff745707096fb1be67aa3c1ddf9af57f01e37179,plugin_compatibility_test.cpp
,https://github.com/mockingbirdnest/Principia/commit/67a86591c42004b31b4e2ca2632bec3187f449b1,Lint.,https://github.com/mockingbirdnest/Principia.git/commit/67a86591c42004b31b4e2ca2632bec3187f449b1,https://github.com/mockingbirdnest/Principia.git,67a86591c42004b31b4e2ca2632bec3187f449b1,continuous_trajectory_body.hpp
,https://github.com/mockingbirdnest/Principia/commit/3bc2fd84ed966ff3f7ab625aa9e2f9d0cdfdc4bc,After egg's review.,https://github.com/mockingbirdnest/Principia.git/commit/3bc2fd84ed966ff3f7ab625aa9e2f9d0cdfdc4bc,https://github.com/mockingbirdnest/Principia.git,3bc2fd84ed966ff3f7ab625aa9e2f9d0cdfdc4bc,ksp_plugin_adapter.cs
,https://github.com/mockingbirdnest/Principia/commit/98bd3a6f4c38c6b8071947182852d196a4625182,No auto sync.,https://github.com/mockingbirdnest/Principia.git/commit/98bd3a6f4c38c6b8071947182852d196a4625182,https://github.com/mockingbirdnest/Principia.git,98bd3a6f4c38c6b8071947182852d196a4625182,ksp_plugin_adapter.cs
,https://github.com/stan-dev/math/commit/b295b04f0d3500e50740e8aff32ff7c22d04af76,Improve performance of poisson_log_lpmf in some cases,https://github.com/stan-dev/math.git/commit/b295b04f0d3500e50740e8aff32ff7c22d04af76,https://github.com/stan-dev/math.git,b295b04f0d3500e50740e8aff32ff7c22d04af76,poisson_log_lpmf.hpp
,https://github.com/stan-dev/math/commit/75bcadb96cc061cf3dea20c68c5847bbdc09a3ce,avoid putting un-needed vars on chain stack and place them on nochain stack to reduce chain calls,https://github.com/stan-dev/math.git/commit/75bcadb96cc061cf3dea20c68c5847bbdc09a3ce,https://github.com/stan-dev/math.git,75bcadb96cc061cf3dea20c68c5847bbdc09a3ce,gradient.hpp
,https://github.com/stan-dev/math/commit/5cd98acf84f9fb95d1e021156fcc54a5a09f8c02,Fix no instance of overloaded function `stan::math::Holder::coeffRef`,https://github.com/stan-dev/math.git/commit/5cd98acf84f9fb95d1e021156fcc54a5a09f8c02,https://github.com/stan-dev/math.git,5cd98acf84f9fb95d1e021156fcc54a5a09f8c02,
,https://github.com/DiligentGraphics/DiligentCore/commit/7836b2c504c4efb25a3bd6d85bcb2312fae3c58a,Fallback to GLX_MESA_swap_control if GLX_EXT_swap_control isn't supported,https://github.com/DiligentGraphics/DiligentCore.git/commit/7836b2c504c4efb25a3bd6d85bcb2312fae3c58a,https://github.com/DiligentGraphics/DiligentCore.git,7836b2c504c4efb25a3bd6d85bcb2312fae3c58a,GLContextLinux.cpp
,https://github.com/TurningWheel/Barony/commit/8dc2ff3bc0d114e5c8119b0cb42d94e09dbee0e7,Remove obsolete TODO comment,https://github.com/TurningWheel/Barony.git/commit/8dc2ff3bc0d114e5c8119b0cb42d94e09dbee0e7,https://github.com/TurningWheel/Barony.git,8dc2ff3bc0d114e5c8119b0cb42d94e09dbee0e7,game.cpp
,https://github.com/pmem/pmemkv/commit/646c53da3cb944a56be030b1579314adc61682c7,Adding percentile statistics to pmemkv_bench output,https://github.com/pmem/pmemkv.git/commit/646c53da3cb944a56be030b1579314adc61682c7,https://github.com/pmem/pmemkv.git,646c53da3cb944a56be030b1579314adc61682c7,
,https://github.com/pmem/pmemkv/commit/ca74372befa70327509a2312d6b9824aae530456,cmap: assert that polymorphic_string is 40 bytes.,https://github.com/pmem/pmemkv.git/commit/ca74372befa70327509a2312d6b9824aae530456,https://github.com/pmem/pmemkv.git,ca74372befa70327509a2312d6b9824aae530456,
,https://github.com/OpenChemistry/tomviz/commit/e956a2e8066fb9fb0ac17450616dc377e7a8087f,Fixed a bug in shapeWidget,https://github.com/OpenChemistry/tomviz.git/commit/e956a2e8066fb9fb0ac17450616dc377e7a8087f,https://github.com/OpenChemistry/tomviz.git,e956a2e8066fb9fb0ac17450616dc377e7a8087f,PythonGeneratedDatasetReaction.cxx
